All,Όλα
"Now you can add products to your gift registry.","Τώρα μπορείτε να προσθέσετε προϊόντα στο μητρώο δώρων σας."
"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.","Απλά μεταβείτε <a href=""%store_url""> %store_name</a> και προσθέστε τα προϊόντα που θέλετε να στο καλάθι αγορών σας ή στη λίστα επιθυμιών."
"You can then add the products to your registry from your shopping cart or wish list page.","Στη συνέχεια, μπορείτε να προσθέσετε τα προϊόντα για το μητρώο σας από τη σελίδα σας καλαιού αγορών σας ή τις λίστες επιθυμιών."
"You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.","Μπορείτε επίσης να το μοιραστείτε με τους φίλους και την οικογένειά σας αφού συνδεθείτε στον λογαριασμό σας και επισκεφθείτε την καρτέλα μητρώου δώρων."
"Or you can email the following link and gift registry ID to them:","Ή μπορείτε να στείλετε email το ακόλουθο σύνδεσμο και ID μητρώου δώρου σε αυτούς:"
"Registry Location:","Θέση Μητρώου:"
"Registry ID:","ID Μητρώου:"
"Gift Registry shared at %store_name","Μητρώο Δώρου μοιράστηκε στο %store_name"
"You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.","Μπορείτε να δείτε και να αγοράσετε τα στοιχεία από αυτό το μητρώο δώρων στο <a href='%account_url'>%store_name</a>."
"Gift Registry:","Μητρώο δώρων:"
"Created For:","Δημιουργήθηκε Για:"
"You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.","Μπορείτε να δημιουργήσετε το δικό σας μητρώο δώρου στο <a href=""%account_url"">%store_name</a> και να το μοιραστείτε με τους φίλους και την οικογένεια."
"Gift Registry updated at %store_name","Μητρώο Δώρου ενημερώθηκε στο %store_name"
"The following items have been purchased from your gift registry ""%registry_name"":","Τα ακόλουθα στοιχεία έχουν αγοραστεί από το μητρώο δώρου σας ""%registry_name"":"
"You can sign in to your account to view more details about this gift registry.","Μπορείτε να εισέλθετε στο λογαριασμό σας για να δείτε περισσότερες λεπτομέρειες σχετικά με αυτό το μητρώο δώρων."
"Ship to Recipient Address","Αποστολή στη Διεύθυνση του Παραλήπτη"
"Recipient Address","Διεύθυνση Παραλήπτη"
"Use gift registry shipping address","Χρήση διεύθυνση αποστολής μητρόου δώρων"
"The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart.","Το μόνο μέρος για να αλλάξετε τον αριθμό των στοιχείων μητρώου δώρου είναι στη σελίδα πληροφοριών μητρώου δώρου ή απευθείας στο καλάθι σας."
"Gift Registry Details","Λεπτομέρειες μητρώου δώρων"
"Event Data","Δεδομένα Εκδήλωσης"
"Event Information","Πληροφορίες Εκδήλωσης"
"Event Country","Χώρα Εκδήλωσης"
"My event special","Ειδικό Γεγονός"
"My special attribute","Ιδιαίτερο Χαρακτηριστικό"
"Gift Registry Section","Τμήμα Μητρώου Δώρου"
"General Options","Γενικές Επιλογές"
"Enable Gift Registry","Ενεργοποίηση Μητρώου Δώρων"
"Maximum Registrants","Μέγιστοι Εγγραφόμενοι"
"Owner Notification","Ειδοποίηση Κατόχου"
"Gift Registry Sharing","Κοινή χρήση μητρώου δώρων"
"Maximum Sent Emails Threshold","Όριο Μέγιστος Αποστολής Emails"
"Gift Registry Update","Ενημέρωση Μητρώου Δώρων"
"Event Region Id","Id Περιοχής Γεγονότος"
"Event Region Text","Κείμενο Περιοχής Γεγονότος"
"Event Location","Τόπος Εκδήλωσης"
"Gift Registry Quick Search Form","Φόρμα Γρήγορης Αναζήτησης Μητρώου Δώρου"
"Quick Search Form Types","Τύποι Φόρμας Γρήγορης Αναζήτησης"
"Default Template","Προεπιλεγμένο Πρότυπο"
Listed,"στη Λίστα"
"Gift Wrapping","Συσκευασία Δώρου"
"Add Gift Wrapping","Προσθήκη Συσκευασίας Δώρου"
"Are you sure you want to delete this gift wrapping?","Είναι βέβαιοι ότι θέλετε να διαγράψετε αυτή τη συσκευασία δώρου;"
"Edit Gift Wrapping ""%1""","Επεξεργασία περιτυλίγματος ""%1"""
"New Gift Wrapping","Νέα συσκευασία δώρου"
"Gift Wrapping Information","Πληροφορίες περιτυλίγματος δώρων"
"Gift Wrapping Design","Σχεδιασμός περιτυλίγματος δώρου"
"Please request the correct gift wrapping.","Παρακαλείστε να ζητήσετε τις σωστές συσκευασίες για δώρα."
"You updated a total of %1 records.","Ενημερώσατε συνολικά %1 εγγραφή(ες)."
"Something went wrong while updating the wrapping(s) status.","Κάτι πήγε στραβά κατά την ενημέρωση της κατάστασης περιτυλίγματος."
"You deleted the gift wrapping.","Διαγράψατε το περιτύλιγμα δώρων."
"You have not uploaded the image.","Δεν έχετε ανεβάσει την εικόνα."
"You saved the gift wrapping.","Αποθηκεύσατε τις συσκευασίες για δώρα."
"We can't save the gift wrapping right now.","Δεν ήταν δυνατή η αποθήκευση της συσκευασίας δώρου αυτή τη στιγμή."
"We can't update the image right now.","Δεν είναι δυνατή η ενημέρωση της εικόνας αυτή τη στιγμή."
"Excluding Tax","Εκτός φόρων"
"Including Tax","Περιλαμβάνει Φόρο"
"Including and Excluding Tax","Με και Χωρίς Φόρο"
"The image content must be valid data.","Το περιεχόμενο της εικόνας πρέπει να είναι έγκυρα δεδομένα."
"The image extension ""%1"" not allowed.","Η επέκταση της εικόνας ""%1"" δεν επιτρέπεται."
"Provided image name contains forbidden characters.","Το παρεχόμενο όνομα εικόνας περιέχει απαγορευμένους χαρακτήρες."
"The image MIME type is not valid or not supported.","Ο Η τύπος MIME εικόνας δεν είναι έγκυρος ή δεν υποστηρίζεται."
"Printed Card","Εκτυπωμένη κάρτα"
"Leave a box blank if you don't want to add gift wrapping for whole order.","Αφήστε κενό το πεδίο εάν δεν θέλετε να προσθέσετε συσκευασία δώρου για όλη την παραγγελία."
"Price Excl. Tax","Τιμή χωρίς ΦΠΑ"
"Price Incl. Tax","Τιμή με ΦΠΑ"
"Send Gift Receipt","Στείλτε την απόδειξη παραλαβής δώρου"
"Add Printed Card","Προσθήκη Τυπωμένης Κάρτας"
"Gift Wrapping for the Entire Order","Συσκευασία Δώρου για Όλη την Παραγγελία"
"Other Gift Options","Άλλες Επιλογές Δώρου"
"Gift wrapping","Συσκευασία Δώρου"
"Printed card","Εκτυπωμένη κάρτα"
"Gift receipt","Απόδειξη παραλαβής δώρου"
"Pick a paper of your choice (optional)","Διαλέξτε ένα χαρτί της επιλογής σας (προαιρετικά)"
"No image","Καμία εικόνα"
"Gift Receipt","Απόδειξη παραλαβής δώρου"
"Allow Gift Wrapping on Order Level","Επιτρέψτε το Περιτύλιγμα σε Επίπεδο Παραγγελίας"
"Allow Gift Wrapping for Order Items","Επιτρέψτε το Περιτύλιγμα για Στοιχεία Παραγγελίας"
"Allow Gift Receipt","Επιτρέψτε την Απόδειξη Παραλαβής Δώρου"
"Allow Printed Card","Επιτρέψτε την Εκτυπωμένη Κάρτα"
"Default Price for Printed Card","Προεπιλεγμένη Τιμή για Έντυπη Κάρτα"
"Tax Class for Gift Options","Φορολογική Κλάση για Επιλογές Δώρου"
"Display Gift Wrapping Prices","Προβολή Τιμών Περιτυλίγματος"
"Display Printed Card Prices","Προβολή Τιμών Έντυπης Κάρτας"
"Are you sure you want to delete the selected gift wrappings?","Είστε σίγουροι ότι θέλετε να διαγράψετε τα περιτυλίγματα δώρου;"
"Gift Wrap Design","Σχεδιασμός Συσκευασίας Δώρου"
Constant,Σταθερά
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Η τιμή Χρώματος Μετατροπής δεν είναι έγκυρη ""%1"". Παρακαλώ ορίστε δεκαεξαδική τιμή 6 ψηφίων."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Το Id Μετατροπής δεν είναι έγκυρo ""%1"". Το Id Μετατροπής πρέπει να είναι ακέραιος."
"Conversion ID","ID Μετατροπής"
"Conversion Language","Γλώσσα Μετατροπής"
"Conversion Format","Μορφή μετατροπής"
"Conversion Color","Χρώμα Μετατροπής"
"Conversion Label","Ετικέτα Μετατροπής"
"Conversion Value Type","Τύπος τιμής μετατροπής"
"Conversion Value","Αξία μετατροπής"
"Anonymize IP","Ανώνυμη IP"
"Product View Optimization","Βελτιστοποίηση προβολής προϊόντων"
"Page View Optimization","Βελτιστοποίηση Προβολής Σελίδας"
"Data key is missing: %1","Λείπει το Κλειδί Δεδομένων: %1"
"Google Analytics Content Experiments Code","Κώδικας Πειραμάτατων Περιεχομένου Google Analytics"
"Experiment Code","Κωδικός Πειράματος"
"Experiment code should be added to the original page only.","Ο κωδικός Πειράματος πρέπει να προστεθεί στην αρχική σελίδα μόνο."
"Enable Content Experiments","Ενεργοποίηση Πειραμάτων Περιεχομένου"
"Category View Optimization","Βελτιστοποίηση Προβολής Κατηγορίας"
"Google Analytics Enhanced Ecommerce Settings","Ρυθμίσεις Google Analytics Enhanced Ecommerce"
"Send to Google","Αποστολή στο Google"
Creative,Δημιουργική
"Universal Analytics","Καθολικά Αναλυτικά"
"Google Tag Manager","Διαχείριση Google Tag"
"Account type","Τύπος λογαριασμού"
"Container Id","Id Κοντέινερ"
"List property for the catalog page","Ιδιότητα λίστας για τη σελίδα του καταλόγου"
"List property for the cross-sell block","Ιδιότητα λίστας για το μπλοκ σχετικών πωλήσεων"
"List property for the up-sell block","Ιδιότητα λίστας για το μπλοκ μετέπειτα πωλήσεων"
"List property for the related products block","Ιδιότητα λίστας για το μπλοκ σχετικά προϊόντα"
"List property for the search results page","Ιδιότητα λίστας για τη σελίδα αποτελεσμάτων αναζήτησης"
"’Internal Promotions’ for promotions field “Label”.","'Εσωτερικές προαγωγές' για το πεδίο προαγωγών ""Ετικέτα""."
"Request content type must be application/json","Ο τύπος περιεχομένου αιτήματος πρέπει να είναι application/json"
"Store code %1 does not exist","Ο κωδικός καταστήματος %1 δεν υπάρχει"
"Entity code %1 does not exist.","Ο κωδικός οντότητας %1 δεν υπάρχει."
"Grouped Products","Ομαδοποιημένα Προϊόντα"
"Please specify the quantity of product(s).","Παρακαλώ προσδιορίσετε την ποσότητα του(των) προϊόντος/ων."
"Cannot process the item.","Δεν μπορεί να επεξεργαστεί το στοιχείο."
"Add Products to Group","Προσθέστε Προϊόντα στην Ομάδα"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Ένα ομαδοποιημένο προϊόν αποτελείται από πολλά, μεμονωμένα προϊόντα που παρουσιάζονται ως μια ομάδα. Μπορείτε να προσφέρετε παραλλαγές ενός προϊόντος, ή να ομαδοποιήσετε ανά σεζόν ή το θέμα για να δημιουργήσετε ένα συντονισμένο σύνολο. Κάθε προϊόν μπορεί να αγοραστεί χωριστά ή ως μέρος της ομάδας."
"There are no grouped products.","Δεν υπάρχουν ομαδοποιημένα προϊόντα."
"Default Qty","Προεπιλεγμένη Ποσότητα"
"Starting at","Ξεκινώντας από"
"Grouped product items","Στοιχεία Ομαδοποιημένου Προϊόντος"
"Grouped Product Image","Εικόνα Ομαδοποιημένου Προϊόντος"
"Export Settings","Ρυθμίσεις Εξαγωγής"
"Entity Type","Τύπος Οντότητας"
"Export File Format","Εξαγόμενη Μορφή Αρχείου"
"Fields Enclosure","Περίβλημα Πεδίων"
"We can't filter an attribute with no attribute options.","Δεν μπορούμε να φιλτράρουμε ένα χαρακτηριστικό χωρίς επιλογές χαρακτηριστικού."
"Fixed Price: From","Σταθερή Τιμή: Από"
Filter,Φίλτρο
"Unknown attribute filter type","Άγνωστα τύπος φίλτρου χαρακτηριστικού"
"Check Data","Έλεγχος Δεδομένων"
"Import Settings","Ρυθμίσεις Εισαγωγής"
"Import Behavior","Εισαγωγή συμπεριφοράς"
"Validation Strategy","Στρατηγική Επικύρωσης"
"Stop on Error","Διακοπή σε Σφάλμα"
"Skip error entries","Παράβλεψη καταχωρήσεων σφάλματος"
"Allowed Errors Count","Μέτρηση Επιτρεπόμενων Σφαλμάτων"
"Please specify number of errors to halt import process","Παρακαλούμε να προσδιορίσετε αριθμό σφαλμάτων να σταματήσει η διαδικασία εισαγωγής"
"Field separator","Διαχωριστικό πεδίου"
"Multiple value separator","Διαχωριστικό Πολλαπλών Τιμών"
"Fields enclosure","Περίβλημα πεδίων"
"File to Import","Αρχείο για εισαγωγή"
"Select File to Import","Επιλέξτε το αρχείο για εισαγωγή"
"Images File Directory","Κατάλογος Αρχείου Εικόνων"
"Download Sample File","Κατεβάστε το αρχείο δείγματος"
"Please correct the data sent value.","Παρακαλώ διορθώστε τα απεσταλμένα δεδομένα."
"Sorry, but the data is invalid or the file is not uploaded.","Συγγνώμη, αλλά τα δεδομένα δεν είναι έγκυρα ή το αρχείο δεν φορτώθηκε."
Import/Export,Εισαγωγή/Εξαγωγή
"Import History","Ιστορικό Εισαγωγών"
"Import history","ιστορικό εισαγωγών"
"There is no sample file for this entity.","Δεν υπάρχει κανένα δείγμα αρχείου για αυτήν την οντότητα."
"Maximum error count has been reached or system error is occurred!","Μέγιστο σφάλμα καταμέτρησης έχει επιτευχθεί ή Παρουσιάστηκε σφάλμα συστήματος!"
"Only the first 100 errors are shown. ","Εμφανίζονται μόνο τα πρώτα 100 σφάλματα. "
"Download full report","Κατεβάστε την πλήρη έκθεση"
"Import successfully done","Εισαγωγή έγινε με επιτυχία"
"The file was not uploaded.","Το αρχείο δεν φορτώθηκε."
"Data validation failed. Please fix the following errors and upload the file again.","Απέτυχε η επικύρωση δεδομένων. Παρακαλώ διορθώστε τα παρακάτω σφάλματα και να αποστείλετε το αρχείο ξανά."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Ελέχθηκαν σειρές: %1, ελέχθηκαν οντότητες: %2, σειρές μη έγκυρες: %3, σύνολο σφαλμάτων: %4"
"This file is empty. Please try another one.","Αυτό το αρχείο είναι κενό. Παρακαλώ δοκιμάστε ένα άλλο."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Διορθώστε τα σφάλματα και ανεβάστε ξανά το αρχείο ή απλά πατήστε το κουμπί ""Εισαγωγή"" για να παραλείψετε τις σειρές με σφάλματα"
"File is valid! To start import process press ""Import"" button","Το αρχείο είναι έγκυρο! Για να ξεκινήσετε τη διαδικασία εισαγωγής πατήστε κουμπί ""Εισαγωγή"""
"The file is valid, but we can't import it for some reason.","Το αρχείο είναι έγκυρο, αλλά δεν μπορούμε να το εισάγουμε για κάποιο λόγο."
"Show more","Προβολή περισσότερων"
"Additional data","Πρόσθετα δεδομένα"
"Following Error(s) has been occurred during importing process:","Τα επόμενα σφάλματα έχουν επέλθει κατά τη διάρκεια της διαδικασίας εισαγωγής:"
"in row(s):","στη σειρά(ές):"
"Make sure your file isn't more than %1M.","Βεβαιωθείτε ότι το αρχείο δεν είναι περισσότερο από %1M."
"We can't provide the upload settings right now.","Δεν μπορούμε να παρέχουμε τις ρυθμίσεις για τη μεταφόρτωση αυτή τη στιγμή."
"Created: %1, Updated: %2, Deleted: %3","Δημιουργήθηκαν: %1, Ενημερώθηκαν: %2, Διαγράφηκαν: %3"
"Please enter a correct entity model.","Παρακαλούμε εισάγετε ένα σωστό μοντέλο οντότητας."
"The entity adapter object must be an instance of %1 or %2.","Το αντικείμενο μοντέλου προσαρμογέα πρέπει να είναι μια παρουσία από %1 ή %2."
"The input entity code is not equal to entity adapter code.","Ο κωδικός οντότητας εισόδου δεν είναι ίσος με κωδικό οντότητας προσαρμογέα."
"Please enter a correct entity.","Παρακαλούμε εισάγετε μια σωστή οντότητα."
"The adapter object must be an instance of %1.","Το αντικείμενο προσαρμογέα πρέπει να είναι μια παρουσία του %1."
"Please correct the file format.","Παρακαλώ διορθώστε τη μορφή του αρχείου."
"Begin export of %1","Αρχίστε εξαγωγή του %1"
"There is no data for the export.","Δεν υπάρχουν καθόλου δεδομένα για την εξαγωγή."
"Exported %1 rows.","Εξάχθηκαν %1 γραμμές."
"The export is finished.","Η εξαγωγή έχει ολοκληρωθεί."
"Please provide filter data.","Παραθέστε δεδομένα φίλτρου."
"We can't determine the attribute filter type.","Δεν μπορούμε να προσδιορίσουμε τον τύπο φίλτρου χαρακτηριστικού."
"Entity is unknown","Οντότητα είναι άγνωστη"
"We can't identify this file format.","Δεν μπορούμε να εντοπίσουμε αυτή τη μορφή αρχείου."
"Please correct the value for ""%1"" column.","Παρακαλώ διορθώστε τη τιμή για τη στήλη ""%1""."
"Please specify the writer.","Παρακαλείστε να προσδιορίσετε το πρόγραμμα εγγραφής."
"The destination file path must be a string.","Η διαδρομή του αρχείου προορισμού πρέπει να είναι μια συμβολοσειρά."
"The destination directory is not writable.","Ο κατάλογος προορισμού δεν είναι εγγράψιμος."
"Destination file is not writable","Το αρχείο προορισμού δεν είναι εγγράψιμο"
"The header column names are already set.","Τα ονόματα στήλης κεφαλίδας έχουν οριστεί ήδη."
"in row(s)","στη σειρά(ές)"
"The validation is complete.","Η επικύρωση έχει ολοκληρωθεί."
"This file does not contain any data.","Αυτό το αρχείο δεν περιέχει δεδομένα."
"Begin import of ""%1"" with ""%2"" behavior","Αρχίστε εισαγωγή των ""%1"" με ""%2"" συμπεριφορά"
"The import was successful.","Η εισαγωγή ήταν επιτυχής."
"The file you uploaded has no extension.","Το αρχείο που αποστείλατε δεν έχει επέκταση."
"The source file moving process failed.","Η διαδικασία μετακίνησης αρχείου προέλευσης απέτυχε."
"Begin data validation","Αρχίστε επικύρωση δεδομένων"
"Import data validation is complete.","Επικύρωση εισαγωγής δεδομένων έχει ολοκληρωθεί."
"The behavior token for %1 is invalid.","Το διακριτικό συμπεριφοράς για %1 δεν είναι έγκυρο."
"Please enter a correct entity model","Παρακαλούμε εισάγετε ένα σωστό μοντέλο οντότητας"
"Source file coping failed","Αντιγραφή αρχείου πηγής απέτυχε"
"The source is not set.","Η πηγή δεν έχει οριστεί."
"The adapter type must be a non-empty string.","Ο τύπος προσαρμογέα πρέπει να είναι μια μη κενή συμβολοσειρά."
"'%1' file extension is not supported","'%1' επέκταση αρχείου δεν υποστηρίζεται"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Προσαρμογέας πρέπει να είναι μια παρουσία του \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Παρακαλείστε να προσδιορίσετε μια πηγή."
"ImportExport: Import Data validation - Validation strategy not found","ΕισαγωγήΕξαγωγή: Επικύρωση Εισαγωγής Δεδομένων - Στρατηγική Επικύρωσης δεν βρέθηκε"
"Cannot get autoincrement value","Δεν μπορεί να δοθεί τιμή αυτόματης αύξησης"
"Error in data structure: %1 values are mixed","Σφάλμα στη δομή δεδομένων: αναμιγνύονται τιμές %1"
Add/Update,Προσθήκη/Ενημέρωση
Replace,Αντικατάσταση
"Add/Update Complex Data","Προσθήκη/Ενημέρωση Σύνθετων Δεδομένων"
"Delete Entities","Διαγραφή Οντοτήτων"
"Custom Action","Προσαρμοσμένη Ενέργεια"
"URL key for specified store already exists.","Υπάρχει ήδη κλειδί URL για το συγκεκριμένο κατάστημα."
"Entity Attributes","Χαρακτηριστικά Οντότητας"
"Validation Results","Αποτελέσματα Επικύρωσης"
"Start Date&Time","Ημερομηνία&Χρόνος Έναρξης"
User,Χρήστης
"Imported File","Εισηγμένο Αρχείο"
"Error File","Αρχείο Σφάλματος"
"Execution Time","Χρόνος Εκτέλεσης"
"Indexer Management","Διαχείριση ευρετηρίου"
"Update by Schedule","Ενημέρωση από το χρονοδιάγραμμα"
"Update on Save","Ενημέρωση κατά την αποθήκευση"
"Reindex required","Αναπροσαρμογή Ευρετήριο Απαιτείται"
Ready,Έτοιμο
Processing,Επεξεργασία
"%1 index is locked by another reindex process. Skipping.","%1 δείκτης είναι κλειδωμένος από μια άλλη διαδικασία αναδημιουργίας. Γίνεται παράλειψη."
"Index Management","Διαχείριση ευρετηρίου"
"Please select indexers.","Παρακαλώ επιλέξτε Ευρετήρια."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 ευρετήριο(α) είναι σε κατάσταση λειτουργίας ""Από χρονοδιάγραμμα ενημέρωσης""."
"We couldn't change indexer(s)' mode because of an error.","Δεν μπορούμε να αλλάζουμε την κατάστατη ευρετήριου(ων) εξαιτίας ενός σφάλματος."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 ευρετήριο(α) είναι σε κατάσταση λειτουργίας ""Ενημέρωση κατά την Αποθήκευση""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Ένα ή περισσότερες <a href=""%1"">ευρετήρια δεν είναι έγκυρα</a>. Βεβαιωθείτε η<a href=""%2"" target=""_blank"">εργασία cron Magento</a> σας τρέχει."
"State for the same indexer","Κατάσταση για το ίδιο ευρετήριο"
"State for the same view","Κατάσταση για την ίδια προβολή"
"Field '%1' not found","Πεδίο '%1' δεν βρέθηκε"
"Some Exception Message","Κάποιο μήνυμα εξαίρεσης"
"Test Phrase","Δοκιμαστική φράση"
"Change indexer mode","Αλλαγή τρόπου ευρετηρίου"
Indexer,Ευρετήριο
Mode,Λειτουργία
"Payment method is not defined for instance purchase.","Η μέθοδος πληρωμής δεν καθορίστηκε για άμεση αγορά."
"Shipping address is not defined for instance purchase.","Η διεύθυνση αποστολής δεν καθορίστηκε για άμεση αγορά."
"Billing address is not defined for instance purchase.","Η διεύθυνση χρέωσης δεν καθορίστηκε για άμεση αγορά."
"Shipping method is not defined for instance purchase.","Η μέθοδος αποστολής δεν καθορίστηκε για άμεση αγορά."
"Specified payment method is not available now.","Η καθορισμένη μέθοδος πληρωμής δεν είναι διαθέσιμη τώρα."
"Specified shipping method is not available.","Η καθορισμένη μέθοδος αποστολής δεν είναι διαθέσιμη."
"Appropriate shipping method is not available.","Η κατάλληλη μέθοδος αποστολής δεν είναι διαθέσιμη."
"Cheapest price","Φθηνότερη τιμή"
"Instant purchase integration not available for token.","Η ενσωμάτωση άμεσης αγοράς δεν είναι διαθέσιμη για το διακριτικό."
"Instant Purchase","Άμεση Αγορά"
"Instant Purchase Confirmation","Επιβεβαίωση Άμεσης Αγοράς"
"Are you sure you want to place order and pay?","Είστε βέβαιοι ότι θέλετε να υποβάλετε τη παραγγελία και να πληρώσετε;"
"Shipping Method","Μέθοδος Αποστολής"
"Button Text","Κείμενο Κουμπιού"
"Payment method with vault and instant purchase support should be enabled.","Θα πρέπει να ενεργοποιηθεί η μέθοδος πληρωμής με χρήση θαλάμου και άμεσης αγοράς."
"A payment method isn't defined for instance purchase. Verify and try again.","Δεν ορίζεται μέθοδος πληρωμής για άμεση πληρωμή. Επαληθεύστε και δοκιμάστε ξανά."
Integrations,Ενσωματώσεις
"Add New Integration","Προσθέστε νέας Ενσωμάτωσης"
"Save & Activate","Αποθήκευση & Ενεργοποίηση"
"New Integration","Νέα Δυνατότητα Ενσωμάτωσης"
"Edit Integration '%1'","Επεξεργαστία ολοκλήρωσης '%1'"
"Integration Info","Πληροφορίες Ενσωμάτωσης"
"Callback URL","Διεύθυνση URL επιστροφή κλήσης"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Εισάγετε το URL όπου μπορούν να σταλούν Oauth πιστοποιήσεις όταν χρησιμοποιείτε το Oauth για συμβολική ανταλλαγή. Συνιστάται η χρήση https://."
"Identity link URL","Ταυτότητα URL συνδέσμου"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","Διεύθυνση URL για να ανακατευθύνετε το χρήστη για να συνδεθεί με το λογαριασμό του απο άλλη υπηρεσία με το Magento με ενσωμάτωση πιστοποίησης."
"Integration Details","Λεπτομέρειες ολοκλήρωσης"
"Integration Tokens for Extensions","Διακριτικό Ενσωμάτωσης για Επεκτάσεις"
"Consumer Key","Κλειδί καταναλωτή"
"Consumer Secret","Το μυστικό των καταναλωτών"
"Access Token","Διακριτικό πρόσβασης"
"Access Token Secret","Μυστικό διακριτικού πρόσβασης"
"Uninstall the extension to remove this integration","Απεγκαταστήσετε την επέκταση για την κατάργηση αυτής της ολοκλήρωσης"
Activate,Ενεργοποίηση
Reauthorize,Επανέγκριση
"Integration not secure","Ενσωμάτωση μη ασφαλής"
"Uninstall the extension to remove integration '%1'.","Απεγκαταστήσετε την επέκταση για την κατάργηση της ολοκλήρωσης '%1'."
"This integration no longer exists.","Αυτή η ενσωμάτωση δεν υπάρχει πλέον."
"The integration '%1' has been deleted.","Η ενσωμάτωση '%1' έχει διαγραφεί."
"Integration ID is not specified or is invalid.","ID ενσωμάτωσης δεν έχει καθοριστεί ή δεν είναι έγκυρο."
"Internal error. Check exception log for details.","Εσωτερικό σφάλμα. Ελέγξτε το αρχείο καταγραφής εξαιρέσεων για λεπτομέρειες."
"View ""%1"" Integration","Προβολή ""%1"" Ενσωμάτωσης"
"Edit ""%1"" Integration","Επεξεργασία ""%1"" Ενσωμάτωσης"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Προσοχή! Οι ενσωματώσεις που δεν χρησιμοποιούν το HTTPS δεν είναι επισφαλείς και πιθανώς να εκθέσουν ιδιωτικές ή προσωπικές πληροφορίες"
"The integration '%1' has been saved.","Η ενσωμάτωση του '%1' έχει αποθηκευτεί."
"The integration was not saved.","Η ενσωμάτωση δεν αποθηκεύτηκε."
"The integration '%1' has been re-authorized.","Η ενσωμάτωση του '%1' έχει επιτραπεί εκ νέου."
"The integration '%1' has been activated.","Έχει ενεργοποιηθεί η ενσωμάτωση του '%1'."
"Integration '%1' has been sent for re-authorization.","Ενσωμάτωση '%1' έχει σταλεί για εκ νέου άδεια."
"Integration '%1' has been sent for activation.","Ενσωμάτωση '%1' έχει σταλεί για ενεργοποίηση."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Κάτι πήγε στραβά κατά τη διαγραφή των ρόλων και δικαιωμάτων. Μπορείτε να μάθετε περισσότερα στο αρχείο καταγραφής εξαιρέσεων."
"This customer has no tokens.","Αυτός ο πελάτης έχει δεν διακριτικά."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Μία ή περισσότερες <a href=""%1"">ενσωματώσεις</a> έχουν μηδενιστεί λόγω αλλαγής των xml ρυθμίσεών τους."
"Invalid Callback URL","Μη έγκυρη επιστροφή κλήσης URL"
"Invalid Rejected Callback URL","Μη έγκυρη επιστροφή απορριφθείσας κλήσης διεύθυνσης URL"
"Incorrect timestamp value in the oauth_timestamp parameter","Λάθος τιμή timestamp στην παράμετρο oauth_timestamp"
"The nonce is already being used by the consumer with ID %1","Το nonce χρησιμοποιείται ήδη από τον πελάτη με ID %1"
"An error occurred validating the nonce","Παρουσιάστηκε σφάλμα κατά την επικύρωση του nonce"
"Cannot convert to access token due to token is not request type","Δεν είναι δυνατό να μετατρέψετε σε διακριτικό πρόσβασης λόγω ότι το διακριτικό δεν είναι τύπος αίτησης"
"Consumer key has expired","Κλειδί καταναλωτή έχει λήξει"
"Cannot create request token because consumer token is not a verifier token","Δεν μπορείτε να δημιουργήσετε την αίτηση διακριτικού επειδή το διακριτικό των καταναλωτών δεν είναι ένα επιβεβαιωμένο διακριτικό"
"Request token is not associated with the specified consumer","Το ζητούμενο διακριτικό δεν είναι συσχετισμένο με τον καθορισμένο καταναλωτή"
"Token is already being used","Το διακριτικό χρησιμοποιείται ήδη"
"Cannot get access token because consumer token is not a request token","Δεν μπορείτε να πάρετε διακριτικό πρόσβασης, επειδή το διακριτικό των καταναλωτών δεν είναι μία αίτηση διακριτικού"
"Token is not associated with the specified consumer","Το διακριτικό δεν είναι συσχετισμένο με τον καθορισμένο καταναλωτή"
"Token is not an access token","Το διακριτικό δεν είναι ένα διακριτικό πρόσβασης"
"Access token has been revoked","Διακριτικό πρόσβασης έχει ανακληθεί"
"Consumer key is not the correct length","Το κλειδί καταναλωτή δεν είναι το σωστό μήκος"
